Time	Raw Data				
0.504032258	29273.00		-288.965878928908+312.674941067895i	15.13671875	425.7545043
0.508064516	29285.00		81.3849880555714-29.260181948481i	15.2578125	86.4851116
0.512096774	29283.00		275.282797519337+235.175855797188i	15.37890625	362.0611851
0.516129032	29286.00		297.400540957138-131.513239329346i	15.5	325.1812016
0.52016129	29287.00		46.5650629350277-368.897885355696i	15.62109375	371.8251671
0.524193548	29287.00		-47.5328983982508-382.238722512975i	15.7421875	385.1828363
0.528225806	29277.00		274.357801455972+29.5819044839501i	15.86328125	275.9479884
0.532258065	29269.00		123.539086488706-188.733813240029i	15.984375	225.571182
0.536290323	29265.00		234.017068049002-293.818789666998i	16.10546875	375.6241064
0.540322581	29275.00		-77.9141012207877-83.8080444948025i	16.2265625	114.4307454
0.544354839	29281.00		93.1242284530643-776.121395166355i	16.34765625	781.6882639
0.548387097	29294.00		8.37410653607637-292.888025251829i	16.46875	293.0077149
0.552419355	29305.00		-122.337376544914+7.20990696137645i	16.58984375	122.549649
0.556451613	29295.00		320.941799558652-252.021924067831i	16.7109375	408.0670152
0.560483871	29301.00		234.273121011483+49.0667831334544i	16.83203125	239.3563127
0.564516129	29278.00		281.513785909209+244.022707345323i	16.953125	372.5548193
0.568548387	29266.00		125.988947582294-100.310894948054i	17.07421875	161.0449954
0.572580645	29260.00		169.728289057558+15.7592394745713i	17.1953125	170.4583402
0.576612903	29262.00		-31.5667369181297+71.9684714488647i	17.31640625	78.58702032
0.580645161	29258.00		177.069200736777-102.853981218461i	17.4375	204.7741275
0.584677419	29263.00		209.298777966334-88.101048056646i	17.55859375	227.0853873
0.588709677	29267.00		-219.22131938425+169.814093501402i	17.6796875	277.2991403
0.592741935	29280.00		-239.114669413594-122.475115038677i	17.80078125	268.6558746
0.596774194	29292.00		59.517404687716-29.8731816477986i	17.921875	66.59375678
0.600806452	29295.00		-13.7380527850034+195.129230863178i	18.04296875	195.6122461
0.60483871	29299.00		179.948894567665-209.214328700924i	18.1640625	275.9569531
0.608870968	29302.00		171.762568528163+5.52078855280939i	18.28515625	171.8512702
0.612903226	29303.00		148.690406862742-86.9834589503807i	18.40625	172.2642134
0.616935484	29310.00		30.3261791947946+236.086729882444i	18.52734375	238.0265136
0.620967742	29308.00		-430.431316034177-134.215831696655i	18.6484375	450.8713867
0.625	29302.00		376.325344849117-58.666836825162i	18.76953125	380.8707956
0.629032258	29314.00		86.0316623625708-145.071431360363i	18.890625	168.6628801
0.633064516	29312.00		183.840153044532-34.4587498600872i	19.01171875	187.0417261
0.637096774	29321.00		112.013882655246-70.9263683054024i	19.1328125	132.5807664
0.641129032	29314.00		2.47289392006761-173.593978715597i	19.25390625	173.6115913
0.64516129	29320.00		248.820762920514-2.6021070183634i	19.375	248.8343686
0.649193548	29327.00		-72.5371559201262+44.1768910265148i	19.49609375	84.93077587
0.653225806	29326.00		-145.837017717591-261.8180731492i	19.6171875	299.695077
0.657258065	29328.00		153.905477222689-392.811450934583i	19.73828125	421.8859229
0.661290323	29328.00		60.2353909173915+10.1901612942615i	19.859375	61.0912572
0.665322581	29340.00		60.1272694727816-293.364413350448i	19.98046875	299.4627983
0.669354839	29347.00		8.18176942397093-152.127710326308i	20.1015625	152.3475684
0.673387097	29348.00		-73.4974328919873-215.165946947414i	20.22265625	227.3725079
0.677419355	29350.00		132.884715617378-161.761456620926i	20.34375	209.3444924
0.681451613	29348.00		-11.7283888385333-86.861883555748i	20.46484375	87.65011078
0.685483871	29347.00		-203.969627874423-52.9002224929608i	20.5859375	210.717922
0.689516129	29344.00		278.646770120205-28.4499815370731i	20.70703125	280.0953837
0.693548387	29341.00		56.9277316877935-70.2415462567066i	20.828125	90.41372382
0.697580645	29336.00		22.7279234830233-66.8440477890497i	20.94921875	70.6023033
0.701612903	29363.00		74.3731230524424-197.64952696977i	21.0703125	211.1793005
0.705645161	29373.00		78.8278751833508+14.6661724315891i	21.19140625	80.18061187
0.709677419	29389.00		-27.2917442452485-180.291515241589i	21.3125	182.3454682
0.713709677	29406.00		-57.1791400372577-210.643596550296i	21.43359375	218.2663025
0.717741935	29409.00		68.4489137528566+153.979186224068i	21.5546875	168.5076959
0.721774194	29393.00		-48.4831874486728-101.404216418725i	21.67578125	112.3985524
0.725806452	29386.00		-83.9076996296849-21.2385059201182i	21.796875	86.55389183
0.72983871	29367.00		-55.6261932352118+37.3078332111494i	21.91796875	66.97871149
0.733870968	29369.00		206.390158282234-212.094131163423i	22.0390625	295.9405648
0.737903226	29360.00		-98.5965214196551-9.914707078234i	22.16015625	99.09377101
0.741935484	29357.00		1.45031973752712-63.5608716469028i	22.28125	63.57741605
0.745967742	29348.00		75.960369561972+156.11666180959i	22.40234375	173.6156382
0.75	29350.00		55.1960974220771-82.9027639773286i	22.5234375	99.59657346
0.754032258	29349.00		78.9480772358757-286.686534261484i	22.64453125	297.3583155
0.758064516	29340.00		-78.7586863446684-159.379130112463i	22.765625	177.7769327
0.762096774	29336.00		-45.0681667971657+47.313975688708i	22.88671875	65.34333902
0.766129032	29328.00		186.1655302925+12.4568501434824i	23.0078125	186.581826
0.77016129	29313.00		-38.0234828616198-41.4272372601629i	23.12890625	56.23167467
0.774193548	29303.00		39.994833404413-47.8854101510312i	23.25	62.39069806
0.778225806	29289.00		21.9333374127575-166.179196134396i	23.37109375	167.6203941
0.782258065	29267.00		54.4184847474004-55.0229002357834i	23.4921875	77.38792563
0.786290323	29253.00		-73.6230392249441-145.723780335035i	23.61328125	163.265955
0.790322581	29252.00		154.12471760591-41.9505740582931i	23.734375	159.731898
0.794354839	29252.00		-23.911718465053-202.148579034625i	23.85546875	203.5578991
0.798387097	29262.00		26.0726718926164-323.617987233932i	23.9765625	324.6665765
0.802419355	29260.00		-137.393246381756-183.173563057925i	24.09765625	228.9747985
0.806451613	29252.00		94.934433714878+76.7448521606255i	24.21875	122.0750549
0.810483871	29247.00		70.3003449708398-152.265822568094i	24.33984375	167.7111184
0.814516129	29242.00		125.912786612763+33.6113940057816i	24.4609375	130.3217389
0.818548387	29249.00		26.8305383875601-148.971020398863i	24.58203125	151.3679051
0.822580645	29252.00		173.641437144193+96.5122291780073i	24.703125	198.6604114
0.826612903	29252.00		119.687752997694-81.7901250067798i	24.82421875	144.9647639
0.830645161	29254.00		123.33237936838+538.682519546394i	24.9453125	552.6207856
0.834677419	29274.00		33.4891652251641-260.90937967652i	25.06640625	263.0498595
0.838709677	29282.00		219.238311520524+24.8207021539063i	25.1875	220.6388554
0.842741935	29281.00		-77.8545121055683-171.75049488181i	25.30859375	188.5724199
0.846774194	29276.00		-43.7251784250588-100.917861136293i	25.4296875	109.9832075
0.850806452	29268.00		189.89517389725-127.049946887786i	25.55078125	228.4772769
0.85483871	29258.00		-57.1708498688489-237.56368473998i	25.671875	244.3460873
0.858870968	29263.00		111.308401426557-177.902134755601i	25.79296875	209.8540678
0.862903226	29260.00		-29.2068203258475+50.6094025036823i	25.9140625	58.43243941
0.866935484	29263.00		-188.883011274721-136.903360689702i	26.03515625	233.2794936
0.870967742	29269.00		127.156640575656-237.10497854i	26.15625	269.0494046
0.875	29263.00		5.01495965081338-129.520395281551i	26.27734375	129.6174472
0.879032258	29276.00		-74.0730684603803-134.183764688307i	26.3984375	153.2713351
0.883064516	29260.00		16.9580461174239+66.9347782601499i	26.51953125	69.04954648
0.887096774	29266.00		-85.4462726222136-80.9463077746905i	26.640625	117.7003409
0.891129032	29264.00		-64.7578387830009-39.1644578340844i	26.76171875	75.67980207
0.89516129	29263.00		14.6407095506322-56.5703820641907i	26.8828125	58.43422373
0.899193548	29292.00		-44.319687401011-34.8766754458929i	27.00390625	56.39696075
0.903225806	29308.00		-211.241470158596+27.9171372183631i	27.125	213.078214
0.907258065	29337.00		51.7043328129613-10.878129167003i	27.24609375	52.83627282
0.911290323	29355.00		-70.5320719128297+195.408600515123i	27.3671875	207.7481512
0.915322581	29366.00		68.3263683381724+89.8169877958166i	27.48828125	112.8520443
0.919354839	29380.00		31.8347259423028-50.6547688021727i	27.609375	59.82771413
0.923387097	29373.00		288.953697260659-136.753182677419i	27.73046875	319.6805783
0.927419355	29362.00		236.972593784599-68.2915898365389i	27.8515625	246.6166082
0.931451613	29363.00		29.7099561308859-20.063286083872i	27.97265625	35.84992248
0.935483871	29370.00		33.0302709650406-129.680773960754i	28.09375	133.8211565
0.939516129	29374.00		92.5784664519608-56.4962340636393i	28.21484375	108.4555066
0.943548387	29381.00		260.739164447265-1.66743669855434i	28.3359375	260.7444961
0.947580645	29405.00		-9.05547837577133-45.1020726715188i	28.45703125	46.00215917
0.951612903	29425.00		138.971707630555-47.8845371597792i	28.578125	146.9900147
0.955645161	29431.00		74.2592313786319-150.131252546398i	28.69921875	167.4927653
0.959677419	29431.00		-43.0725517738162+57.4159927988586i	28.8203125	71.7763258
0.963709677	29429.00		-71.1215277084665+46.5632437450823i	28.94140625	85.00827825
0.967741935	29406.00		-37.6694015945513+5.98164868087087i	29.0625	38.1413678
0.971774194	29390.00		80.0260279674266-96.9602994898213i	29.18359375	125.7197869
0.975806452	29379.00		124.953166376657+100.606191737771i	29.3046875	160.4210074
0.97983871	29367.00		33.7695696446782-121.126234337003i	29.42578125	125.7455704
0.983870968	29362.00		-105.804444393547+3.70982505118538i	29.546875	105.8694633
