# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 04 Dec 2018 15:16:18
 0> <info> app: Unplug USE Detect
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	HR sample count 707
 0> <info> app: Peak Index,
 0> ,118,220,326,417,519,616
 0> ,END Peak Index,<info> app: HR Index,
 0> ,69,66,77,69,72<info> app: HR Mean 70 
 0> <info> app: HR SD 3.72 
 0> <info> app: ^_^ Final HR 70 
 0> <info> app: Peak Index,
 0> ,67,89,137,161,179,185,205,287,296,348,355,360,365,378,384,388,395,404,443,470,495,518,572,590,650
 0> ,END Peak Index,<info> app: HR Index,
 0> ,65,147,137,98,86,136,136,136,51,131,137,118<info> app: HR Mean 114 
 0> <info> app: HR SD 30.69 
 0> 
 0> hr,141,114730,138814,-1.183624,536926108
 0> hr,142,114731,138823,-1.183624,536926108
 0> hr,143,114737,138827,0.183624,536926108
 0> hr,144,114739,138817,-1.183624,536926108
 0> hr,145,114721,138825,0.183624,536926108
 0> hr,146,114723,138820,-1.183624,536926108
 0> hr,147,114730,138811,-1.183624,536926108
 0> hr,148,114733,138811,-1.183624,536926108
 0> hr,149,114721,138825,0.183624,536926108
 0> hr,150,114722,138828,0.183624,536926108
 0> hr,151,114729,138822,0.183624,536926108
 0> hr,152,114737,138823,-1.183624,536926108
 0> hr,153,114735,138840,1.183624,536926108
 0> hr,154,114737,138832,0.183624,536926108
 0> hr,155,114730,138826,0.183624,536926108
 0> hr,156,114729,138821,0.183624,536926108
 0> hr,157,114728,138825,0.183624,536926108
 0> hr,158,114732,138827,0.183624,536926108
 0> hr,159,114730,138835,}0.183624,536926108
 0> hr,160,114721,138827,0.183624,536926108
 0> hr,161,114729,138835,}0.183624,536926108
 0> hr,162,114721,138822,0.183624,536926108
 0> hr,163,114723,138823,0.183624,536926108<info> app: ***********  Application started  ***********
 0> 
 0> <info> app: [OK] NRF Power ON 0x0002. 
 0> <info> app: Read MAC:D992B26C8203
 0> <info> app: ***********  Sensor initial ***********
 0> <info> app: [OK]	BMI160
 0> <info> app: [OK]	SETUP ACC
 0> <info> app: [OK]	SETUP STEP COUNT
 0> <info> app: [OK]	FLASH MEMORY
 0> <info> app: [OK]	Read and using configuration in flash memory
 0> <info> app: [OK]	Using queue setting from flash memory
 0> <info> app: gender in flash 1
 0> <info> app: [OK]	OLED Initial
 0> <info> app: [OK]	Max30102 Initial, Temperature 18.75
 0> <info> app: ********** End sensor initial *********
 0> 
 0> <info> app: Erase bonds!
 0> <info> app: BLE_ADV_EVT_FAST
 0> <info> app: advertising is started
 0> <info> app: [FALL] Device restart detected. It require setup timer from flash memory
 0> 
 0> <info> app: [OK]	FLASH MEMORY
 0> <info> app: [OK] Pedo data with pages 1304
 0> 
 0> <error> app: [OK] Unix Time in flash 1543911679
 0> <error> app: [OK] Unix Time in flash 1543911689
 0> <error> app: [OK] Unix Time in flash 1543911699
 0> <error> app: [OK] Unix Time in flash 1543911709
 0> <error> app: [OK] Unix Time in flash 1543911719
 0> <error> app: [OK] Unix Time in flash 1543911729
 0> <error> app: [OK] Unix Time in flash 1543911739
 0> <error> app: [OK] Unix Time in flash 1543911749
 0> <info> app: BATT Reading...
 0> <info> app: BATT Reading...
 0> <info> app: BATT Reading...
 0> <info> app: BATT Reading...
 0> <info> app: BATT Reading...
 0> <info> app: ***********  Application started  ***********
 0> 
 0> <info> app: [OK] NRF Power ON 0x0006. 
 0> <info> app: Read MAC:D992B26C8203
 0> <info> app: ***********  Sensor initial ***********
 0> <info> app: [OK]	BMI160
 0> <info> app: [OK]	SETUP ACC
 0> <info> app: [OK]	SETUP STEP COUNT
 0> <info> app: [OK]	FLASH MEMORY
 0> <info> app: [OK]	Read and using configuration in flash memory
 0> <info> app: [OK]	Using queue setting from flash memory
 0> <info> app: gender in flash 1
 0> <info> app: [OK]	OLED Initial
 0> <info> app: Erase bonds!
 0> <info> app: BLE_ADV_EVT_FAST
 0> <info> app: advertising is started
 0> <info> app: [FALL] Device restart detected. It require setup timer from flash memory
 0> 
 0> <info> app: [OK]	FLASH MEMORY
 0> <info> app: [OK] Pedo data with pages 1304
 0> 
 0> <error> app: [OK] Unix Time in flash 1543911679
 0> <error> app: [OK] Unix Time in flash 1543911689
 0> <error> app: [OK] Unix Time in flash 1543911699
 0> <error> app: [OK] Unix Time in flash 1543911709
 0> <error> app: [OK] Unix Time in flash 1543911719
 0> <error> app: [OK] Unix Time in flash 1543911729
 0> <error> app: [OK] Unix Time in flash 1543911739
 0> <error> app: [OK] Unix Time in flash 1543911749
 0> <info> app: BATT Reading...
 0> <info> app: ALERT_BT_CHECK_WAIT_KRY
 0> <info> app: Left Press
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	HR sample count 707
 0> <info> app: Peak Index,
 0> ,115,218,313,400,488,688
 0> ,END Peak Index,<info> app: HR Index,
 0> ,68,74,81,80<info> app: HR Mean 75 
 0> <info> app: HR SD 5.21 
 0> <info> app: ^_^ Final HR 75 
 0> <info> app: Peak Index,
 0> ,44,49,61,67,74,93,151,171,193,224,230,237,244,252,285,301,309,316,336,373,384,470,549,569,635,658,675
 0> ,END Peak Index,<info> app: HR Index,
 0> ,136,78,116,122,98,65,117,117,98,131,82,89,98,107,51<info> app: HR Mean 100 
 0> <info> app: HR SD 23.36 
 0> 
 0> SPO2,0,115130,138757,15.00,0
 0> SPO2,1,115109,138755,12.00,0
 0> SPO2,2,115127,138756,12.00,0
 0> SPO2,3,115115,138753,9.00,0
 0> SPO2,4,115124,138767,22.00,0
 0> SPO2,5,115133,138745,0.00,0
 0> SPO2,6,115131,138756,10.00,0
 0> SPO2,7,115119,138743,-2.00,0
 0> SPO2,8,115125,138744,-1.00,0
 0> SPO2,9,115125,138747,1.00,0
 0> SPO2,10,115114,138756,10.00,0
 0> SPO2,11,115136,138732,-14.00,-1
 0> SPO2,12,115129,138751,5.00,0
 0> SPO2,13,115121,138729,-16.00,-1
 0> SPO2,14,115109,138750,5.00,0
 0> SPO2,15,115133,138748,2.00,0
