-3600	-16132	219
-3682	-16210	184
-3700	-16422	238
-3831	-16658	268
-3765	-16565	256
-3779	-16374	72
-3825	-16206	131
-3849	-16093	160
-3769	-16207	163
-3655	-16419	247
-3714	-16587	215
-3619	-16546	47
-3714	-16452	86
-3724	-16324	202
-3708	-16268	251
-3598	-16239	366
-3640	-16202	284
-3618	-16298	84
-3634	-16272	61
-3749	-16353	155
-3835	-16332	214
-3825	-16471	216
-3863	-16473	74
-4001	-16477	48
-4105	-16218	-4
-4016	-16192	174
-3836	-16158	270
-3874	-16263	263
-4086	-16146	163
-4035	-16135	204
-3786	-16113	213
-3741	-16200	251
-3967	-16558	-34
-4133	-16486	78
-4096	-16607	157
-4277	-16455	319
-4367	-16425	219
-4252	-16079	29
-4084	-16007	262
-3882	-15891	378
-3851	-16127	284
-3847	-16355	160
-3927	-16584	127
-4198	-16626	189
-4207	-16546	143
-4305	-16435	355
-4183	-15946	297
-3729	-15868	90
-3637	-15923	293
-3746	-16131	264
-3826	-16210	488
-3887	-16592	377
-4136	-16474	344
-4193	-16209	268
-4082	-16142	176
-3869	-16153	286
-3963	-16270	192
-3961	-16266	304
-4129	-16240	271
-4227	-16305	130
-4133	-16434	301
-4116	-16419	322
-3947	-16307	339
-4003	-16072	260
-4159	-16121	267
-4092	-16174	205
-3998	-16375	347
-3786	-16409	347
-3939	-16425	404
-3959	-16326	181
-4091	-16235	260
-4222	-16116	255
-4229	-16198	233
-4141	-16312	243
-4157	-16416	271
-4142	-16414	318
-3964	-16086	297
-3701	-15827	185
-3701	-15885	319
-3677	-16163	442
-3758	-16506	554
-4092	-16623	265
-4432	-16434	204
-4467	-16139	130
-4229	-16056	513
-4125	-16152	629
-4005	-16268	446
-3839	-16402	341
-4037	-16433	395
-4099	-16418	383
-3860	-16258	483
-3760	-16086	486
-3848	-16121	451
-3816	-16399	559
-3704	-16531	438
-3638	-16617	511
-3796	-16907	676
-3686	-18191	1004
-2640	-19543	1138
-2411	-19577	1478
-1292	-17914	2459
-569	-13386	-632
2357	-15192	-1146
870	-16031	1148
-335	-16384	733
968	-18035	892
225	-17204	266
-955	-19160	722
-2761	-16020	-201
-607	-15267	-502
-1163	-14040	-718
-1220	-15874	397
-790	-14877	-1109
-3480	-15706	-276
-2073	-12064	2413
-3440	-14839	-148
65	-16940	-2154
-1821	-18709	-1119
-4004	-21738	2920
-3559	-22421	1282
-873	-20046	285
674	-16462	1348
-1979	-12307	1792
-1988	-12119	2149
-2521	-14297	1527
-2949	-16703	1859
