49824,-15713,-10,
49847,-15711,-7,
49846,-15710,-4,
49852,-15708,-1,
49845,-15707,2,
49872,-15705,5,
49861,-15703,8,
49871,-15700,11,
49876,-15698,14,
49892,-15695,18,
49879,-15692,21,
49882,-15687,28,
49884,-15684,31,
49873,-15683,34,
49861,-15683,37,
49852,-15683,40,
49857,-15683,42,
49854,-15683,44,
49846,-15683,44,
49824,-15685,42,
49844,-15686,40,
49811,-15688,36,
49807,-15691,31,
49813,-15693,26,
49813,-15695,19,
49795,-15698,13,
49807,-15700,6,
49819,-15704,-8,
49809,-15705,-15,
49810,-15707,-21,
49809,-15708,-26,
49802,-15709,-30,
49812,-15710,-34,
49808,-15712,-36,
49807,-15713,-38,
49806,-15714,-39,
49798,-15715,-39,
49805,-15716,-38,
49828,-15716,-37,
49824,-15716,-34,
49825,-15715,-31,
49826,-15715,-29,
49831,-15714,-26,
49835,-15714,-23,
49831,-15713,-20,
49832,-15713,-17,
49834,-15712,-14,
49848,-15709,-7,
49852,-15708,-4,
49864,-15705,0,
49871,-15703,3,
49850,-15702,7,
49868,-15700,10,
49865,-15698,14,
49865,-15696,17,
49879,-15694,20,
49885,-15691,23,
49887,-15689,26,
49911,-15685,29,
49917,-15678,35,
49917,-15674,38,
49911,-15671,41,
49895,-15669,44,
49898,-15667,47,
49889,-15666,50,
49878,-15665,53,
49873,-15665,55,
49852,-15667,56,
49852,-15668,55,
49831,-15670,53,
49841,-15672,50,
49831,-15674,45,
49825,-15676,39,
49844,-15677,32,
49809,-15680,24,
49810,-15685,7,
49816,-15687,-2,
49809,-15690,-10,
49803,-15693,-17,
49793,-15696,-24,
49809,-15698,-30,
49807,-15700,-35,
49820,-15701,-39,
49801,-15703,-42,
49788,-15706,-45,
49797,-15708,-47,
49791,-15710,-48,
49803,-15714,-50,
49819,-15714,-50,
49803,-15715,-49,
49799,-15717,-48,
49812,-15717,-47,
49816,-15717,-46,
49807,-15718,-44,
49826,-15718,-42,
49830,-15718,-37,
49833,-15717,-34,
49822,-15717,-30,
49813,-15717,-27,
49829,-15717,-23,
49810,-15717,-19,
49826,-15717,-16,
49826,-15716,-12,
49845,-15715,-9,
49842,-15714,-6,
49858,-15711,-3,
49853,-15710,0,
49879,-15704,5,
49865,-15702,8,
49870,-15700,11,
49860,-15698,14,
49869,-15696,18,
49864,-15695,21,
49847,-15695,25,
49831,-15695,28,
49844,-15695,33,
49829,-15696,34,
49843,-15696,35,
49806,-15698,34,
49814,-15700,32,
49817,-15701,28,
49807,-15703,24,
49800,-15705,19,
49810,-15708,8,
49805,-15709,2,
49829,-15709,-4,
49794,-15711,-9,
49805,-15712,-14,
49798,-15714,-18,
49806,-15715,-21,
49805,-15716,-24,
49788,-15718,-26,
49786,-15720,-28,
49797,-15721,-29,
49799,-15722,-29,
49794,-15723,-30,
49818,-15723,-29,
49816,-15723,-29,
49821,-15722,-28,
49812,-15723,-27,
49819,-15722,-26,
49819,-15722,-24,
49814,-15722,-22,
