# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,147,77006,95093,0.00,0,-4
 0> hr,148,77002,95100,0.00,0,3
 0> hr,149,77015,95093,0.00,0,-4
 0> hr,150,77011,95103,0.00,0,6
 0> hr,151,77005,95117,0.00,0,19
 0> hr,152,77008,95107,0.00,0,8
 0> hr,153,77008,95115,0.00,0,16
 0> hr,154,77005,95115,0.00,0,15
 0> hr,155,77003,95116,0.00,0,15
 0> hr,156,77004,95106,0.00,0,4
 0> hr,157,77005,95117,0.00,0,15
 0> hr,158,77004,95118,0.00,0,15
 0> hr,159,77018,95106,1.00,1,3
 0> hr,160,77018,95107,1.00,1,3
 0> hr,161,77006,95107,1.00,1,3
 0> hr,162,77017,95115,2.00,1,11
 0> hr,163,77022,95107,2.00,1,3
 0> hr,164,77016,95096,2.00,1,-8
 0> hr,165,77005,95111,2.00,1,7
 0> hr,166,77026,95124,3.00,1,19
 0> hr,167,77020,95113,3.00,1,7
 0> hr,168,77008,95113,3.00,1,7
 0> hr,169,77011,95114,3.00,1,8
 0> hr,170,77014,95119,3.00,1,12
 0> hr,171,77019,95115,4.00,1,8
 0> hr,172,77015,95102,4.00,1,-5
 0> hr,173,77012,95116,4.00,1,8
 0> hr,174,77013,95122,4.00,1,14
 0> hr,175,77011,95114,4.00,1,5
 0> hr,176,77020,95116,5.00,1,7
 0> hr,177,77018,95111,5.00,1,2
 0> hr,178,77023,95122,5.00,1,13
 0> hr,179,77015,95113,5.00,1,3
 0> hr,180,77009,95132,5.00,1,22
 0> hr,181,77018,95120,5.00,1,9
 0> hr,182,77015,95129,6.00,1,17
 0> hr,183,77020,95122,6.00,1,9
 0> hr,184,77007,95136,6.00,1,23
 0> hr,185,77021,95134,6.00,1,20
 0> hr,186,77018,95128,7.00,1,13
 0> hr,187,76999,95128,7.00,1,12
 0> hr,188,77025,95131,7.00,1,14
 0> hr,189,77006,95127,7.00,1,10
 0> hr,190,77015,95139,8.00,1,21
 0> hr,191,77015,95114,8.00,1,-4
 0> hr,192,77022,95129,8.00,1,10
 0> hr,193,77017,95124,8.00,1,5
 0> hr,194,77020,95123,8.00,1,3
 0> hr,195,77009,95111,9.00,1,-8
 0> hr,196,77013,95111,9.00,1,-7
 0> hr,197,77021,95109,9.00,1,-9
 0> hr,198,77015,95106,9.00,1,-11
 0> hr,199,77021,95098,8.00,1,-19
 0> hr,200,77016,95109,8.00,1,-7
 0> hr,201,77012,95121,8.00,1,4
 0> hr,202,77021,95129,8.00,1,12
 0> hr,203,77017,95116,7.00,1,0
 0> hr,204,77024,95121,7.00,1,4
 0> hr,205,77020,95111,7.00,1,-6
 0> hr,206,77027,95106,7.00,1,-10
 0> hr,207,77017,95103,6.00,0,-13
 0> hr,208,77020,95106,6.00,0,-9
 0> hr,209,77024,95108,6.00,0,-7
 0> hr,210,77015,95113,5.00,-1,-1
 0> hr,211,77021,95105,5.00,-1,-9
 0> hr,212,77016,95106,4.00,0,-8
 0> hr,213,77028,95092,4.00,0,-21
 0> hr,214,77028,95120,3.00,0,7
 0> hr,215,77016,95107,3.00,0,-6
 0> hr,216,77027,95106,3.00,0,-6
 0> hr,217,77028,95122,2.00,0,9
 0> hr,218,77027,95098,2.00,0,-14
 0> hr,219,77020,95107,1.00,-1,-5
 0> hr,220,77030,95090,1.00,0,-21
 0> hr,221,77019,95102,1.00,0,-8
 0> hr,222,77020,95107,0.00,0,-3
 0> hr,223,77029,95098,0.00,0,-12
 0> hr,224,77035,95114,0.00,0,4
 0> hr,225,77033,95105,0.00,0,-4
 0> hr,226,77037,95111,0.00,0,1
 0> hr,227,77047,95102,-1.00,0,-7
 0> hr,228,77031,95098,-1.00,-1,-11
 0> hr,229,77024,95097,-1.00,0,-11
 0> hr,230,77034,95100,-2.00,-1,-8
 0> hr,231,77027,95102,-2.00,0,-5
 0> hr,232,77029,95106,-2.00,0,-1
 0> hr,233,77033,95101,-3.00,0,-6
 0> hr,234,77037,95110,-3.00,0,2
 0> hr,235,77038,95106,-3.00,0,-1
 0> hr,236,77031,95109,-3.00,0,1
 0> hr,237,77040,95121,-3.00,0,13
 0> hr,238,77038,95107,-4.00,0,0
 0> hr,239,77031,95099,-4.00,-1,-8
 0> hr,240,77033,95097,-4.00,0,-10
 0> hr,241,77038,95114,-4.00,0,7
 0> hr,242,77032,95101,-4.00,0,-6
 0> hr,243,77031,95102,-4.00,0,-4
 0> hr,244,77032,95090,-4.00,0,-16
 0> hr,245,77037,95102,-4.00,0,-3
 0> hr,246,77029,95094,-4.00,0,-11
 0> hr,247,77037,95106,-4.00,0,0
 0> hr,248,77033,95100,-4.00,0,-5
 0> hr,249,77024,95098,-4.00,0,-6
 0> hr,250,77034,95105,-4.00,0,0
 0> hr,251,77036,95095,-4.00,0,-9
 0> hr,252,77047,95116,-4.00,0,11
